Pot,Genotype,Treatment,Nutrient,NumLeaf,Experiment,Box,leaf_lenght_cm
9,B73,Full syncom,Full Hoagland,L6,1,2,NA
10,B73,Full syncom,Full Hoagland,L1,1,2,4.675
10,B73,Full syncom,Full Hoagland,L2,1,2,15.07
10,B73,Full syncom,Full Hoagland,L3,1,2,28.142
10,B73,Full syncom,Full Hoagland,L4,1,2,37.09
10,B73,Full syncom,Full Hoagland,L5,1,2,27.595
10,B73,Full syncom,Full Hoagland,L6,1,2,NA
11,B73,Full syncom,Full Hoagland,L1,1,2,3.326
11,B73,Full syncom,Full Hoagland,L2,1,2,12.825
11,B73,Full syncom,Full Hoagland,L3,1,2,26.672
11,B73,Full syncom,Full Hoagland,L4,1,2,39.557
11,B73,Full syncom,Full Hoagland,L5,1,2,21.45
11,B73,Full syncom,Full Hoagland,L6,1,2,NA
12,B73,Full syncom,Full Hoagland,L1,1,2,3.549
12,B73,Full syncom,Full Hoagland,L2,1,2,11.873
12,B73,Full syncom,Full Hoagland,L3,1,2,28.769
12,B73,Full syncom,Full Hoagland,L4,1,2,36.807
12,B73,Full syncom,Full Hoagland,L5,1,2,26.01
12,B73,Full syncom,Full Hoagland,L6,1,2,12.625
19,B73,No Bacteria,1/4 Hoagland,L1,1,3,4.281
19,B73,No Bacteria,1/4 Hoagland,L2,1,3,11.001
19,B73,No Bacteria,1/4 Hoagland,L3,1,3,24.383
19,B73,No Bacteria,1/4 Hoagland,L4,1,3,29.42
19,B73,No Bacteria,1/4 Hoagland,L5,1,3,14.956
20,B73,No Bacteria,1/4 Hoagland,L1,1,3,3.48
20,B73,No Bacteria,1/4 Hoagland,L2,1,3,9.491
20,B73,No Bacteria,1/4 Hoagland,L3,1,3,20.924
20,B73,No Bacteria,1/4 Hoagland,L4,1,3,26.225
20,B73,No Bacteria,1/4 Hoagland,L5,1,3,10.941
21,B73,No Bacteria,1/4 Hoagland,L1,1,3,4.116
21,B73,No Bacteria,1/4 Hoagland,L2,1,3,9.794
21,B73,No Bacteria,1/4 Hoagland,L3,1,3,19.878
21,B73,No Bacteria,1/4 Hoagland,L4,1,3,26.401
21,B73,No Bacteria,1/4 Hoagland,L5,1,3,14.806
22,B73,No Bacteria,1/4 Hoagland,L1,1,3,5.11
22,B73,No Bacteria,1/4 Hoagland,L2,1,3,9.655
22,B73,No Bacteria,1/4 Hoagland,L3,1,3,18.153
22,B73,No Bacteria,1/4 Hoagland,L4,1,3,21.755
22,B73,No Bacteria,1/4 Hoagland,L5,1,3,12.938
23,B73,No Bacteria,1/4 Hoagland,L1,1,3,3.294
23,B73,No Bacteria,1/4 Hoagland,L2,1,3,8.739
23,B73,No Bacteria,1/4 Hoagland,L3,1,3,22.213
23,B73,No Bacteria,1/4 Hoagland,L4,1,3,26.136
23,B73,No Bacteria,1/4 Hoagland,L5,1,3,10.772
24,B73,No Bacteria,1/4 Hoagland,L1,1,3,1.707
24,B73,No Bacteria,1/4 Hoagland,L2,1,3,7.356
24,B73,No Bacteria,1/4 Hoagland,L3,1,3,18.868
