UiD,num_pot,genotype,soil,treatment,id,num_leaf,tray,experiment,region,north_LatY,west_LongX,country,dw_g,dw_mg
768,R111,B73,Sao Domingos,50%FC,R111,L2,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0285,28.5
771,R111,B73,Sao Domingos,50%FC,R111,L5,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0671,67.1
767,R111,B73,Sao Domingos,50%FC,R111,L1,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0106,10.6
773,R111,B73,Sao Domingos,50%FC,R111,Stem,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.222,222
789,R114,B73,Sutton Bonington,50%FC,R114,L2,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.0366,36.6
356,17,CVSt,Sao Domingos,50%FC,17,L4,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1077,107.7
665,R95,Zm523,Sutton Bonington,50%FC,R95,L5,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.098,98
661,R95,Zm523,Sutton Bonington,50%FC,R95,L1,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.0236,23.6
430,33,CVSt,Sutton Bonington,50%FC,33,L3,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0409,40.9
357,17,CVSt,Sao Domingos,50%FC,17,L5,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0409,40.9
663,R95,Zm523,Sutton Bonington,50%FC,R95,L3,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.1277,127.7
358,17,CVSt,Sao Domingos,50%FC,17,L6,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0021,2.1
433,33,CVSt,Sutton Bonington,50%FC,33,L6,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0051,5.1
429,33,CVSt,Sutton Bonington,50%FC,33,L2,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0161,16.1
355,17,CVSt,Sao Domingos,50%FC,17,L3,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0636,63.6
428,33,CVSt,Sutton Bonington,50%FC,33,L1,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0041,4.1
630,R90,Zm523,Sao Domingos,50%FC,R90,L4,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1702,170.2
632,R90,Zm523,Sao Domingos,50%FC,R90,L6,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0113,11.3
633,R90,Zm523,Sao Domingos,50%FC,R90,Stem,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.2486,248.6
641,R92,Zm523,Sao Domingos,50%FC,R92,L1,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0072,7.2
431,33,CVSt,Sutton Bonington,50%FC,33,L4,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.075,75
354,17,CVSt,Sao Domingos,50%FC,17,L2,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0164,16.4
353,17,CVSt,Sao Domingos,50%FC,17,L1,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0033,3.3
359,17,CVSt,Sao Domingos,50%FC,17,Stem,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1889,188.9
432,33,CVSt,Sutton Bonington,50%FC,33,L5,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0524,52.4
664,R95,Zm523,Sutton Bonington,50%FC,R95,L4,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.2055,205.5
666,R95,Zm523,Sutton Bonington,50%FC,R95,L6,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.006,6
662,R95,Zm523,Sutton Bonington,50%FC,R95,L2,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.0626,62.6
667,R95,Zm523,Sutton Bonington,50%FC,R95,Stem,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.2682,268.2
434,33,CVSt,Sutton Bonington,50%FC,33,Stem,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.1537,153.7
643,R92,Zm523,Sao Domingos,50%FC,R92,L3,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1068,106.8
642,R92,Zm523,Sao Domingos,50%FC,R92,L2,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0445,44.5
627,R90,Zm523,Sao Domingos,50%FC,R90,L1,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.01,10
646,R92,Zm523,Sao Domingos,50%FC,R92,L6,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0095,9.5
644,R92,Zm523,Sao Domingos,50%FC,R92,L4,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1843,184.3
645,R92,Zm523,Sao Domingos,50%FC,R92,L5,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0957,95.7
629,R90,Zm523,Sao Domingos,50%FC,R90,L3,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1012,101.2
647,R92,Zm523,Sao Domingos,50%FC,R92,Stem,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.3271,327.1
