UiD,num_pot,genotype,soil,treatment,id,num_leaf,tray,experiment,region,north_LatY,west_LongX,country,dw_g,dw_mg
,,B73,Tarrafal,50%FC,R108,L6,5,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0373,37.3
,,B73,Tarrafal,50%FC,R108,Stem,5,2,Colonato,15.254874,-23.744146,Cabo Verde,0.2322,232.2
,,Zm523,Sao Domingos,50%FC,R89,L1,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0178,17.8
,,Zm523,Sao Domingos,50%FC,R89,L2,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0503,50.3
,,Zm523,Sao Domingos,50%FC,R89,L3,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.112,112
,,Zm523,Sao Domingos,50%FC,R89,L4,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1187,118.7
,,Zm523,Sao Domingos,50%FC,R89,L5,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0653,65.3
,,Zm523,Sao Domingos,50%FC,R89,Stem,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.261,261
,,Zm523,Sao Domingos,50%FC,R90,L1,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.01,10
,,Zm523,Sao Domingos,50%FC,R90,L2,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0349,34.9
,,Zm523,Sao Domingos,50%FC,R90,L3,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1012,101.2
,,Zm523,Sao Domingos,50%FC,R90,L4,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1702,170.2
,,Zm523,Sao Domingos,50%FC,R90,L5,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0864,86.4
,,Zm523,Sao Domingos,50%FC,R90,L6,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0113,11.3
,,Zm523,Sao Domingos,50%FC,R90,Stem,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.2486,248.6
,,Zm523,Sao Domingos,50%FC,R91,L1,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0112,11.2
,,Zm523,Sao Domingos,50%FC,R91,L2,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0379,37.9
,,Zm523,Sao Domingos,50%FC,R91,L3,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1019,101.9
